ANO,NOME,IDADE_ALUNO,FASE_TURMA,UNIDADE,ANO_INGRESSO,PEDRA,PONTO_VIRADA,INDE,INDE_CONCEITO,IAA,IEG,IPS,IDA,IPP,IPV,IAN,ANOS_PM,INSTITUICAO_ENSINO_ALUNO,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,NIVEL_IDEAL,DEFASAGEM,SINALIZADOR_INGRESSANTE,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,BOLSISTA,INDICADO_BOLSA
2021,ALUNO-1244,10.0,1B,Centro,,Ametista,Não,7.39,,10.0,8.8,7.5,5.8,7.5,7.4,5.0,2.0,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1248,14.0,3G,Filipinho,,Ágata,Não,6.05,,9.2,3.9,5.6,6.5,7.7,6.1,5.0,4.0,Rede Decisão,,,,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1249,15.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1250,14.0,3R,Granjinha,,Ágata,Não,6.34,,6.7,5.8,6.9,5.8,7.5,7.1,5.0,2.0,Escola Pública,,,,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1251,15.0,3M,Cipó,,Ametista,Não,7.79,,8.8,7.2,6.3,8.1,7.5,7.4,10.0,,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1252,17.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1253,11.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1254,13.0,3C,Centro,,Ametista,Não,7.38,,9.2,5.8,7.5,6.8,7.5,7.2,10.0,3.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase + Bolsa,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1256,16.0,5A,Centro,,Ágata,Não,6.54,,9.2,7.5,7.5,3.6,7.7,6.9,5.0,3.0,Escola Pública,,,,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 6 (2o EM),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1257,15.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1260,11.0,1C,Centro,,Ágata,Não,6.16,,9.0,5.0,7.5,3.9,7.7,7.3,5.0,,Escola Pública,,,,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1261,16.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1262,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1264,11.0,2E,,,Ágata,Não,6.25,,8.0,4.2,8.1,3.1,7.3,7.3,10.0,2.0,Escola Pública,,,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0,Veterano,,,,,,,,,
2021,ALUNO-1265,17.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1266,13.0,3R,Granjinha,,Quartzo,Não,4.82,,10.0,3.3,5.6,1.8,6.9,2.8,10.0,3.0,Escola Pública,,,,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),0.0,Ingressante,,,,,,,,,
2021,ALUNO-1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1268,,1A,Centro,,Ametista,Não,6.98,,8.0,7.5,7.5,5.0,7.5,8.4,5.0,1.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Ingressante,,,,,,,,,
2021,ALUNO-1269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1270,11.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1274,16.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1275,10.0,1G,Filipinho,,Topázio,Sim,8.47,,9.5,9.6,7.5,7.8,8.3,9.8,5.0,2.0,Escola Pública,,,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0,Veterano,,,,,,,,,
2021,ALUNO-1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,ALUNO-1277,14.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
